Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Goals,Shots,Assists,Clearances,Fouls
1562,Andrea Petagna,ITA,FW,Napoli,Serie A,26,1995,22,518,0.52,2.24,0,0.52,2.59
1563,Nils Petersen,GER,FW,Freiburg,Bundesliga,33,1988,20,513,0.88,2.28,0.18,2.46,0.53
1564,Danijel Petkovi?,MNE,GK,Angers,Ligue 1,28,1993,15,1350,0,0,0,0.13,0
1565,Jens Petter Hauge,NOR,FW-MF,Eint Frankfurt,Bundesliga,22,1999,24,949,0.19,1.71,0.19,0.48,1.71
1566,Alex Petxa,ESP,DF-MF,Athletic Club,La Liga,25,1997,14,347,0,0.51,0,1.54,3.08
1567,Giuseppe Pezzella,ITA,DF,Atalanta,Serie A,24,1997,21,1072,0,0.76,0.08,1.34,1.51
1568,Maximilian Philipp,GER,MF-FW,Wolfsburg,Bundesliga,28,1994,21,955,0.09,1.32,0.38,0.57,0.85
1569,Romain Philippoteaux,FRA,MF,Brest,Ligue 1,34,1988,1,24,0,0,0,0,0
1570,Kalvin Phillips,ENG,MF,Leeds United,Premier League,26,1995,16,1236,0,0.95,0.07,1.68,2.7
1571,Jaden Philogene Bidace,ENG,FW,Aston Villa,Premier League,19,2002,1,5,0,0,0,0,0
1572,Krzysztof Pi?tek,POL,FW,Hertha BSC,Bundesliga,26,1995,9,347,0.26,3.08,0,1.54,2.82
1573,Pablo Piatti,ARG,MF-FW,Elche,La Liga,33,1989,8,242,0,1.11,0,0.37,4.07
1574,Cristiano Piccini,ITA,DF,Valencia,La Liga,29,1992,6,322,0.28,0.83,0,2.5,3.06
1575,Roberto Piccoli,ITA,FW,Atalanta,Serie A,21,2001,12,196,0.45,2.27,0,0,0
1576,Jordan Pickford,ENG,GK,Everton,Premier League,28,1994,31,2790,0,0,0,0.03,0
1577,Amos Pieper,GER,DF,Arminia,Bundesliga,24,1998,26,2300,0,0.47,0,6.48,0.55
1578,Erik Pieters,NED,DF,Burnley,Premier League,33,1988,11,711,0,0.89,0,3.42,2.03
1579,Andrea Pinamonti,ITA,FW,Empoli,Serie A,22,1999,34,2689,0.4,2.78,0.07,0.74,1
1580,Ethan Pinnock,JAM,DF,Brentford,Premier League,28,1993,32,2694,0.03,0.6,0.03,5.85,0.4
